,bothfoot_L,swing_L,bothfoot_R,swing_R,stand_L,stand_R,cluster_id
0,862,632,1275,600,128,134,4
1,912,818,930,585,157,170,4
2,1040,936,3780,600,179,261,0
3,1030,987,1321,719,105,206,0
4,1033,948,1351,704,70,259,0
5,1087,969,120,465,109,513,4
6,1218,1036,1260,855,148,215,0
7,1258,983,1440,810,193,255,0
8,1174,1034,1441,764,145,265,0
9,974,1012,1411,674,68,232,0
10,1061,1062,1276,840,25,196,0
11,1072,561,975,735,187,150,4
12,1119,620,841,854,172,93,4
13,0,642,0,265,0,0,8
14,772,516,750,555,91,126,4
15,0,138,0,240,0,0,8
16,0,534,0,0,0,0,8
17,0,691,0,390,0,0,8
18,0,679,0,465,0,0,8
19,0,655,0,375,0,0,8
20,0,48,0,375,0,0,8
21,0,585,0,480,0,0,8
22,0,496,0,480,0,0,8
23,0,78,0,480,0,0,8
24,0,36,0,495,0,0,8
25,0,96,0,255,0,0,8
26,0,536,0,135,0,0,8
27,0,532,0,510,0,0,8
28,0,522,0,510,0,0,8
29,0,571,0,495,0,0,8
30,0,174,0,495,0,0,8
31,649,612,210,225,61,363,8
32,655,562,195,210,68,377,8
33,647,566,751,360,62,121,4
34,0,75,0,360,0,0,8
35,0,116,0,465,0,0,8
36,0,724,0,540,0,0,8
37,0,154,0,540,0,0,8
38,0,677,0,556,0,0,8
39,0,761,0,525,0,0,8
40,0,57,0,525,0,0,8
41,0,5,0,525,0,0,8
42,0,515,0,180,0,0,8
43,611,452,615,255,93,98,4
44,666,473,165,255,105,306,8
45,648,472,165,210,101,337,8
46,658,540,90,315,91,252,8
47,0,69,0,59,0,0,8
48,0,652,0,540,0,0,8
49,88,471,0,450,28,0,8
50,254,100,585,60,108,86,8
51,595,516,675,450,55,90,4
52,0,67,0,60,0,0,8
53,0,203,0,360,0,0,8
54,0,64,0,60,0,0,8
55,663,452,660,375,105,93,4
56,600,566,674,360,35,115,4
57,690,438,706,375,121,105,4
58,631,453,676,434,80,117,4
59,633,465,631,450,85,98,4
60,0,165,0,360,0,0,8
61,692,608,660,495,104,93,4
62,0,47,0,495,0,0,8
63,809,588,840,555,123,131,4
64,0,42,0,555,0,0,8
65,0,771,0,525,0,0,8
66,781,761,900,615,21,145,4
67,0,723,0,570,0,0,8
68,767,643,721,615,60,92,4
69,726,739,825,570,34,122,4
70,691,733,915,525,24,142,4
71,747,766,900,570,34,143,4
72,711,246,945,555,11,145,4
73,823,688,975,555,81,187,4
74,0,57,0,584,0,0,8
75,0,803,0,629,0,0,8
76,0,935,0,660,0,0,8
77,1044,861,1035,750,141,153,4
78,1312,869,1905,285,124,903,0
79,920,657,1140,660,113,147,4
80,924,720,915,675,104,145,4
81,951,764,960,690,125,136,4
82,1028,962,1080,750,87,191,4
83,1232,984,1336,764,181,287,0
84,1335,983,1576,780,249,306,0
85,1209,978,1485,735,221,253,0
86,1227,950,1725,705,146,376,0
87,0,145,0,180,0,0,8
88,908,698,704,720,133,55,4
89,771,550,870,540,91,140,4
90,763,594,1185,105,114,544,4
91,753,552,825,525,111,117,4
92,810,635,751,569,132,109,4
93,1176,611,976,810,157,209,4
94,904,472,900,645,127,132,4
95,794,430,765,600,28,166,4
96,572,379,555,360,115,97,4
97,533,376,150,135,97,301,8
98,913,541,420,630,178,105,4
99,962,943,900,285,391,286,4
100,771,604,2176,630,39,102,0
101,1416,1140,2265,195,345,876,0
102,1439,1058,1725,390,357,692,0
103,1203,986,1620,510,124,569,0
104,1005,978,1320,660,135,210,0
105,1188,966,1306,600,111,193,0
106,1146,1118,1500,840,92,214,0
107,1265,1143,1350,810,245,210,0
108,1272,1094,1695,780,185,307,0
109,1167,1044,1665,540,136,386,0
110,1257,1191,1396,914,127,216,0
111,1208,1119,1591,855,80,273,0
112,1150,1118,1515,795,110,245,0
113,1348,1138,1515,900,161,287,0
114,1190,1064,1515,840,134,216,0
115,1145,1192,1425,840,78,227,0
116,1148,1047,1531,735,152,261,0
117,1536,1020,1485,930,320,286,0
118,1078,1060,1710,75,723,280,0
119,1523,1112,2115,420,238,865,0
120,1622,1007,4276,434,407,781,0
121,1386,1033,1786,720,294,372,0
122,854,718,690,570,187,97,4
123,1289,779,1440,525,229,535,0
124,1046,902,1230,660,164,222,0
125,743,442,645,600,106,37,4
126,623,608,675,450,46,127,4
127,945,933,225,300,129,516,4
128,0,816,0,615,0,0,8
129,984,763,870,720,201,63,4
130,826,824,1125,645,20,161,4
131,1029,731,975,780,118,131,4
132,747,605,781,524,135,88,4
133,981,711,901,689,131,161,4
134,960,623,976,405,421,134,4
135,0,564,0,435,0,0,8
136,640,522,600,450,72,118,4
137,778,834,765,525,123,130,4
138,1992,933,2295,1110,553,329,0
139,1795,898,1786,1079,416,300,0
140,902,597,3346,540,242,120,0
141,0,40,0,150,0,0,8
142,0,12,0,150,0,0,8
143,1007,743,991,644,188,175,4
144,1097,751,991,900,137,60,4
145,1049,672,2880,795,102,152,0
146,1385,629,855,1140,164,81,4
147,738,708,810,690,31,17,4
148,840,512,825,525,134,181,4
149,790,466,870,450,116,224,4
150,828,487,811,464,135,229,4
151,876,513,841,525,138,213,4
152,1120,275,945,450,365,305,4
153,1139,187,825,555,399,185,4
154,870,494,870,480,106,284,4
155,876,506,780,555,141,180,4
156,947,500,885,570,139,238,4
157,842,517,826,540,129,173,4
158,894,477,900,540,127,227,4
159,891,514,795,570,130,191,4
160,1015,381,825,585,241,189,4
161,868,504,811,554,125,189,4
162,880,489,841,524,144,212,4
163,851,536,856,510,118,223,4
164,865,517,975,390,154,321,4
165,856,510,885,510,132,214,4
166,844,477,795,540,133,171,4
167,859,511,780,570,119,170,4
168,824,495,690,540,119,60,4
169,0,556,0,705,0,0,8
170,897,504,856,554,136,207,4
171,952,500,871,584,137,231,4
172,988,492,826,630,169,189,4
173,895,485,840,555,161,179,4
174,853,492,840,540,119,194,4
175,872,502,795,570,118,184,4
176,800,512,780,525,104,171,4
177,897,494,795,570,148,179,4
178,851,481,720,540,128,78,4
179,838,490,765,540,142,156,4
180,833,478,811,524,130,179,4
181,869,339,736,465,219,185,4
182,981,443,990,570,151,260,4
183,817,477,765,495,128,194,4
184,779,451,780,495,109,175,4
185,862,416,751,479,192,191,4
186,881,458,736,629,124,128,4
187,1201,441,735,615,385,111,4
188,757,453,690,495,109,153,4
189,734,441,720,450,126,158,4
190,852,594,810,525,142,185,4
191,1077,539,975,720,141,216,4
192,941,496,900,570,151,220,4
193,854,433,855,525,121,208,4
194,800,457,720,510,124,166,4
195,1023,344,750,540,314,169,4
196,836,450,765,540,133,163,4
197,869,393,795,525,176,168,4
198,814,525,721,524,126,164,4
199,904,507,870,630,105,169,4
200,865,484,795,570,112,183,4
201,870,490,780,570,116,184,4
202,831,454,826,509,133,189,4
203,933,487,766,599,155,179,4
