,bothfoot_L,swing_L,bothfoot_R,swing_R,stand_L,stand_R,cluster_id
0,1000,796,1201,749,944,856,1
1,830,734,1109,599,804,766,2
2,881,573,960,645,660,801,2
3,730,729,735,600,785,675,2
4,811,541,915,570,661,700,2
5,760,622,795,510,746,644,2
6,800,643,870,555,771,679,2
7,760,855,840,570,981,639,2
8,700,561,1110,465,667,594,2
9,889,607,780,660,726,773,2
10,860,527,900,539,675,715,2
11,790,594,839,494,730,660,2
12,871,533,884,584,671,740,2
13,730,587,705,600,686,634,2
14,830,489,840,540,626,694,2
15,750,497,750,510,616,634,2
16,850,501,690,630,647,704,2
17,869,498,795,585,636,733,2
18,800,592,690,630,716,684,2
19,810,512,885,525,636,694,2
20,810,446,780,525,591,669,2
21,770,559,720,525,676,654,2
22,800,571,825,539,682,689,2
23,769,542,840,494,666,653,2
24,840,554,825,524,715,685,2
25,780,657,825,539,790,650,2
26,880,491,975,540,655,725,2
27,840,484,810,540,635,695,2
28,791,472,780,525,601,670,2
29,751,530,720,525,637,644,2
30,760,508,795,510,602,668,2
31,770,499,765,480,627,643,2
32,790,606,765,540,722,678,2
33,790,554,885,525,662,688,2
34,840,475,810,540,632,688,2
35,860,501,765,584,652,718,2
36,770,543,765,539,666,654,2
37,870,487,825,539,661,699,2
38,810,534,810,525,676,674,2
39,840,447,840,510,616,674,2
40,811,483,735,555,627,674,2
41,770,543,735,540,672,648,2
42,780,573,720,615,697,663,2
43,810,498,855,510,642,668,2
44,860,488,810,525,657,693,2
45,780,560,705,614,677,663,2
46,770,566,765,464,652,688,2
47,760,483,840,449,612,638,2
48,830,526,735,554,681,679,2
49,720,577,720,599,661,639,2
50,870,529,825,555,681,719,2
51,830,472,810,570,611,699,2
52,910,602,765,555,811,709,2
53,910,577,960,630,711,779,2
54,830,477,825,555,641,669,2
55,650,392,810,405,476,574,2
56,580,433,555,435,506,514,2
57,540,446,810,165,521,469,2
58,560,417,615,375,511,469,2
59,700,452,645,419,606,554,2
60,681,620,750,449,706,595,2
61,760,500,870,479,616,644,2
62,760,477,780,464,611,629,2
63,750,548,749,524,636,664,2
64,651,532,705,495,627,564,2
65,780,503,765,495,657,633,2
66,710,489,795,480,582,618,2
67,730,488,735,480,587,633,2
68,760,506,735,510,612,658,2
69,0,443,0,0,0,0,0
70,0,622,0,0,0,0,0
71,0,555,0,600,492,0,0
72,0,448,0,0,0,0,0
73,0,554,0,0,0,0,0
74,0,534,0,570,506,0,0
75,670,448,554,524,547,573,2
76,0,539,0,0,0,0,0
77,0,595,0,0,0,0,0
78,490,402,0,495,411,489,0
79,590,546,540,420,591,549,2
80,640,462,720,450,531,579,2
81,670,467,645,465,561,579,2
82,670,471,660,465,586,564,2
83,700,519,780,375,651,569,2
84,730,563,765,495,691,609,2
85,790,483,810,540,621,659,2
86,780,531,720,540,681,639,2
87,890,873,825,630,996,774,1
88,1440,1209,1035,1080,1531,1119,1
89,1421,1263,1590,944,1685,1005,1
90,1420,1368,1860,990,1625,1165,1
91,1601,1389,1710,1155,1751,1240,1
92,1430,1245,1815,1110,1506,1174,1
93,1261,1169,1665,810,1461,969,1
94,1320,1000,1575,930,1276,1044,1
95,1190,1056,1440,869,1215,1035,1
96,1140,982,1365,839,1140,990,1
97,1281,1030,1425,885,1141,1170,1
98,1330,1074,1365,930,1256,1154,1
99,1050,959,1380,810,1076,934,1
100,1070,1043,1230,825,1141,979,1
101,1140,1005,1260,900,1131,1019,1
102,890,903,1230,704,996,804,1
103,1170,851,1050,1004,970,1060,1
104,1132,984,1080,915,1097,1025,1
105,1162,727,1140,975,874,1018,1
106,1070,907,1050,690,1114,866,1
107,1131,901,1200,915,1031,1001,1
108,1501,1007,1140,1230,1172,1339,1
109,1170,911,1305,885,1072,1018,1
110,1110,906,1185,839,1067,953,1
111,1140,932,1170,914,1061,1019,1
112,1190,871,1274,839,1016,1054,1
113,1170,673,1200,870,796,1054,1
114,1050,752,900,810,896,914,1
115,1050,890,120,810,976,964,2
116,1160,772,1035,945,936,1004,1
117,0,897,0,0,0,0,0
118,1170,862,0,1020,1025,1015,2
119,901,558,134,660,641,820,2
120,760,491,719,584,587,664,2
121,749,488,690,524,611,628,2
122,790,489,750,510,631,649,2
123,650,633,765,435,721,569,2
124,700,583,135,120,631,659,2
125,0,569,0,600,561,0,0
126,750,618,660,135,656,714,2
127,850,824,795,645,896,784,2
128,800,726,945,705,776,754,2
129,770,576,915,524,686,664,2
130,710,560,780,539,636,634,2
131,730,438,750,539,516,654,2
132,740,547,555,585,665,625,2
133,730,517,764,524,625,625,2
134,740,511,720,525,640,620,2
135,740,494,765,495,620,620,2
136,781,543,735,585,631,700,2
137,792,610,675,615,743,659,2
138,700,531,840,510,633,607,2
139,740,505,750,510,623,627,2
