bothfoot_L,swing_L,bothfoot_R,swing_R,stand_L,stand_R
1016,644,959,719,844,816
948,740,915,720,897,791
1047,656,975,750,875,828
1089,599,930,840,793,895
1659,720,0,810,1578,801
1158,739,1695,795,985,912
1064,584,990,825,818,830
1004,590,870,750,792,802
982,632,870,735,801,813
1082,642,1155,719,891,833
1055,662,930,749,928,789
978,636,946,779,816,798
0,695,0,0,0,0
1059,674,0,840,901,832
946,604,990,720,796,755
997,644,855,705,877,764
0,622,0,0,0,0
0,602,0,0,0,0
0,876,0,0,0,0
896,527,930,629,727,696
0,594,0,0,0,0
875,534,0,690,731,679
0,611,0,0,0,0
926,610,0,780,780,756
855,539,825,645,713,681
911,568,765,660,767,712
877,542,780,675,731,688
880,572,765,645,773,679
893,705,780,689,901,697
772,187,644,569,357,602
1216,126,661,569,657,874
811,551,660,645,714,648
841,700,720,660,875,666
752,457,720,570,616,593
766,503,630,600,655,614
774,480,660,630,619,635
757,492,630,600,638,611
782,564,705,585,694,652
794,473,795,599,637,630
788,501,690,555,681,608
776,500,705,585,668,609
760,509,675,585,678,592
986,551,945,675,723,814
981,551,870,645,740,792
938,554,945,555,732,760
930,597,870,614,774,753
0,982,0,0,0,0
714,954,0,705,1047,621
1391,486,1245,1140,539,1338
545,984,0,615,1101,428
0,157,0,615,0,0
281,437,0,495,531,187
675,470,630,465,581,564
876,510,824,555,711,676
871,505,870,539,679,699
884,596,810,569,780,701
962,654,931,629,836,780
490,536,0,600,724,302
914,565,870,585,748,731
936,535,885,615,720,752
903,589,855,630,728,765
324,406,0,420,496,234
619,246,600,420,341,524
0,162,0,0,503,0
631,435,615,435,519,547
628,427,734,434,511,544
615,428,630,404,519,524
638,480,615,435,588,531
692,499,675,480,624,567
652,416,2775,434,512,556
632,411,600,449,505,538
719,351,600,434,540,530
600,440,614,419,529,511
623,426,555,509,513,536
626,430,614,420,538,518
604,483,630,435,560,527
700,480,585,510,645,535
0,121,0,0,2531,0
847,412,3915,119,525,734
623,409,615,449,493,540
606,417,601,419,496,527
614,418,571,434,522,510
623,436,615,420,546,513
628,408,600,449,509,527
615,415,600,434,504,526
0,438,0,0,60,0
626,408,660,435,497,537
608,415,585,435,500,523
621,446,600,420,547,520
748,387,645,419,510,786
643,105,615,434,208,540
739,331,164,434,527,544
956,150,631,464,538,569
