bothfoot_L,swing_L,bothfoot_R,swing_R,stand_L,stand_R
324,406,0,420,496,234
619,246,600,420,341,524
0,162,0,0,503,0
631,435,615,435,519,547
628,427,734,434,511,544
615,428,630,404,519,524
638,480,615,435,588,531
692,499,675,480,624,567
652,416,2775,434,512,556
632,411,600,449,505,538
719,351,600,434,540,530
600,440,614,419,529,511
623,426,555,509,513,536
626,430,614,420,538,518
604,483,630,435,560,527
700,480,585,510,645,535
0,121,0,0,2531,0
847,412,3915,119,525,734
623,409,615,449,493,540
606,417,601,419,496,527
614,418,571,434,522,510
623,436,615,420,546,513
628,408,600,449,509,527
615,415,600,434,504,526
0,438,0,0,60,0
626,408,660,435,497,537
608,415,585,435,500,523
621,446,600,420,547,520
748,387,645,419,510,786
643,105,615,434,208,540
739,331,164,434,527,544
956,150,631,464,538,569
