bothfoot_L,swing_L,bothfoot_R,swing_R,stand_L,stand_R
772,187,644,569,357,602
1216,126,661,569,657,874
811,551,660,645,714,648
841,700,720,660,875,666
752,457,720,570,616,593
766,503,630,600,655,614
774,480,660,630,619,635
757,492,630,600,638,611
782,564,705,585,694,652
794,473,795,599,637,630
788,501,690,555,681,608
776,500,705,585,668,609
760,509,675,585,678,592
986,551,945,675,723,814
981,551,870,645,740,792
938,554,945,555,732,760
930,597,870,614,774,753
0,982,0,0,0,0
714,954,0,705,1047,621
1391,486,1245,1140,539,1338
545,984,0,615,1101,428
0,157,0,615,0,0
281,437,0,495,531,187
675,470,630,465,581,564
876,510,824,555,711,676
871,505,870,539,679,699
884,596,810,569,780,701
962,654,931,629,836,780
490,536,0,600,724,302
914,565,870,585,748,731
936,535,885,615,720,752
903,589,855,630,728,765
