bothfoot_L,swing_L,bothfoot_R,swing_R,stand_L,stand_R
1016,644,959,719,844,816
948,740,915,720,897,791
1047,656,975,750,875,828
1089,599,930,840,793,895
1659,720,0,810,1578,801
1158,739,1695,795,985,912
1064,584,990,825,818,830
1004,590,870,750,792,802
982,632,870,735,801,813
1082,642,1155,719,891,833
1055,662,930,749,928,789
978,636,946,779,816,798
0,695,0,0,0,0
1059,674,0,840,901,832
946,604,990,720,796,755
997,644,855,705,877,764
0,622,0,0,0,0
0,602,0,0,0,0
0,876,0,0,0,0
896,527,930,629,727,696
0,594,0,0,0,0
875,534,0,690,731,679
0,611,0,0,0,0
926,610,0,780,780,756
855,539,825,645,713,681
911,568,765,660,767,712
877,542,780,675,731,688
880,572,765,645,773,679
893,705,780,689,901,697
