bothfoot_L,swing_L,bothfoot_R,swing_R,stand_L,stand_R
714,898,885,584,918,694
919,1402,1170,495,1574,747
751,715,1845,419,775,691
162,587,0,629,714,0
746,704,810,629,724,726
706,740,840,569,760,686
762,685,885,630,692,755
0,894,0,615,749,0
147,647,0,570,748,46
0,254,0,645,34,0
0,749,0,0,783,0
714,702,4036,615,709,707
117,566,0,495,676,0
773,616,795,555,715,674
752,623,885,540,665,710
0,132,0,540,0,0
191,627,0,585,721,97
748,679,855,555,738,689
812,612,855,585,722,702
883,790,840,674,880,793
1193,661,1260,704,731,1124
117,573,0,585,687,0
0,700,0,585,680,0
0,747,0,570,735,0
0,910,0,600,764,0
806,634,945,525,734,706
336,603,0,615,771,168
165,595,0,615,656,104
104,559,720,615,674,679
166,549,0,630,660,55
206,529,0,615,675,60
245,556,0,585,684,117
812,561,870,510,677,696
127,639,0,570,733,33
122,574,0,585,682,0
128,667,810,585,810,713
930,631,945,615,811,750
900,720,960,645,826,794
925,585,945,674,716,794
0,998,0,569,906,0
880,780,1065,674,827,834
788,756,960,645,766,778
0,751,0,659,734,0
0,124,0,659,0,0
181,576,0,630,742,15
214,553,0,599,720,0
884,610,840,644,728,766
194,581,0,555,761,0
863,661,885,615,785,739
776,528,870,495,678,626
702,666,780,585,681,687
800,522,825,510,668,654
788,522,810,480,689,622
837,569,840,539,716,691
0,110,0,539,0,0
218,541,0,570,705,54
739,670,855,539,721,690
176,702,1065,570,885,737
793,499,764,524,654,638
768,476,766,494,638,606
860,533,811,524,695,698
0,0,0,0,0,0
139,547,0,0,686,0
260,561,0,525,716,105
0,329,0,630,52,0
0,693,0,0,745,0
0,255,0,690,80,0
0,689,0,0,769,0
711,558,735,510,620,649
668,612,750,495,655,625
773,513,854,494,642,644
747,506,825,495,618,635
723,521,750,510,602,642
697,532,735,465,631,598
821,643,750,540,805,659
270,483,0,495,589,164
683,487,705,480,574,596
691,512,690,510,577,626
741,567,675,600,610,698
307,509,0,509,623,193
731,515,735,524,609,637
345,505,0,510,616,234
726,570,795,421,748,548
753,521,839,600,584,691
679,503,690,509,567,616
809,574,825,555,686,698
744,539,795,569,605,679
705,544,705,524,624,625
765,620,766,569,673,712
308,556,0,540,660,204
733,514,780,554,572,675
700,521,676,509,608,613
751,542,779,569,614,679
459,563,0,524,652,370
0,1036,0,839,682,0
820,608,885,570,719,710
795,552,825,615,626,721
728,592,735,540,671,649
865,591,900,585,708,748
784,541,825,615,593,732
751,559,720,540,644,667
860,605,885,600,716,749
784,556,825,600,632,709
613,446,644,450,508,551
581,452,600,435,506,527
618,501,600,449,575,544
645,465,705,465,533,577
271,451,0,465,522,200
639,531,630,465,597,573
652,460,719,450,533,579
643,442,660,434,523,562
363,522,0,449,596,289
616,451,690,450,515,553
595,446,615,435,506,535
608,522,600,435,602,529
619,466,629,449,528,557
628,1015,630,479,1062,582
608,431,691,419,502,539
617,451,615,434,521,548
641,523,616,449,619,545
638,468,735,450,548,558
650,457,660,450,545,562
648,546,645,465,629,565
613,422,675,405,511,524
589,460,615,435,510,539
235,446,0,569,581,101
630,439,705,419,525,544
593,440,630,420,508,525
614,529,615,435,601,542
598,423,660,420,499,522
588,442,600,450,480,551
630,595,600,434,671,555
598,417,675,420,491,524
560,411,585,405,472,499
0,577,0,0,0,0
628,441,720,450,506,563
594,442,615,420,507,529
628,546,600,450,631,543
575,426,660,405,496,506
579,445,600,405,515,509
