bothfoot_L,swing_L,bothfoot_R,swing_R,stand_L,stand_R
613,446,644,450,508,551
581,452,600,435,506,527
618,501,600,449,575,544
645,465,705,465,533,577
271,451,0,465,522,200
639,531,630,465,597,573
652,460,719,450,533,579
643,442,660,434,523,562
363,522,0,449,596,289
616,451,690,450,515,553
595,446,615,435,506,535
608,522,600,435,602,529
619,466,629,449,528,557
628,1015,630,479,1062,582
608,431,691,419,502,539
617,451,615,434,521,548
641,523,616,449,619,545
638,468,735,450,548,558
650,457,660,450,545,562
648,546,645,465,629,565
613,422,675,405,511,524
589,460,615,435,510,539
235,446,0,569,581,101
630,439,705,419,525,544
593,440,630,420,508,525
614,529,615,435,601,542
598,423,660,420,499,522
588,442,600,450,480,551
630,595,600,434,671,555
598,417,675,420,491,524
560,411,585,405,472,499
0,577,0,0,0,0
628,441,720,450,506,563
594,442,615,420,507,529
628,546,600,450,631,543
575,426,660,405,496,506
579,445,600,405,515,509
