bothfoot_L,swing_L,bothfoot_R,swing_R,stand_L,stand_R
711,558,735,510,620,649
668,612,750,495,655,625
773,513,854,494,642,644
747,506,825,495,618,635
723,521,750,510,602,642
697,532,735,465,631,598
821,643,750,540,805,659
270,483,0,495,589,164
683,487,705,480,574,596
691,512,690,510,577,626
741,567,675,600,610,698
307,509,0,509,623,193
731,515,735,524,609,637
345,505,0,510,616,234
726,570,795,421,748,548
753,521,839,600,584,691
679,503,690,509,567,616
809,574,825,555,686,698
744,539,795,569,605,679
705,544,705,524,624,625
765,620,766,569,673,712
308,556,0,540,660,204
733,514,780,554,572,675
700,521,676,509,608,613
751,542,779,569,614,679
459,563,0,524,652,370
0,1036,0,839,682,0
820,608,885,570,719,710
795,552,825,615,626,721
728,592,735,540,671,649
865,591,900,585,708,748
784,541,825,615,593,732
751,559,720,540,644,667
860,605,885,600,716,749
784,556,825,600,632,709
