bothfoot_L,swing_L,bothfoot_R,swing_R,stand_L,stand_R
714,898,885,584,918,694
919,1402,1170,495,1574,747
751,715,1845,419,775,691
162,587,0,629,714,0
746,704,810,629,724,726
706,740,840,569,760,686
762,685,885,630,692,755
0,894,0,615,749,0
147,647,0,570,748,46
0,254,0,645,34,0
0,749,0,0,783,0
714,702,4036,615,709,707
117,566,0,495,676,0
773,616,795,555,715,674
752,623,885,540,665,710
0,132,0,540,0,0
191,627,0,585,721,97
748,679,855,555,738,689
812,612,855,585,722,702
883,790,840,674,880,793
1193,661,1260,704,731,1124
117,573,0,585,687,0
0,700,0,585,680,0
0,747,0,570,735,0
0,910,0,600,764,0
806,634,945,525,734,706
336,603,0,615,771,168
165,595,0,615,656,104
104,559,720,615,674,679
166,549,0,630,660,55
206,529,0,615,675,60
245,556,0,585,684,117
812,561,870,510,677,696
127,639,0,570,733,33
122,574,0,585,682,0
128,667,810,585,810,713
930,631,945,615,811,750
900,720,960,645,826,794
925,585,945,674,716,794
0,998,0,569,906,0
880,780,1065,674,827,834
788,756,960,645,766,778
0,751,0,659,734,0
0,124,0,659,0,0
181,576,0,630,742,15
214,553,0,599,720,0
884,610,840,644,728,766
194,581,0,555,761,0
863,661,885,615,785,739
776,528,870,495,678,626
702,666,780,585,681,687
800,522,825,510,668,654
788,522,810,480,689,622
837,569,840,539,716,691
0,110,0,539,0,0
218,541,0,570,705,54
739,670,855,539,721,690
176,702,1065,570,885,737
793,499,764,524,654,638
768,476,766,494,638,606
860,533,811,524,695,698
0,0,0,0,0,0
139,547,0,0,686,0
260,561,0,525,716,105
0,329,0,630,52,0
0,693,0,0,745,0
0,255,0,690,80,0
0,689,0,0,769,0
