bothfoot_L,swing_L,bothfoot_R,swing_R,stand_L,stand_R
206,478,840,720,709,813
817,477,825,660,518,776
698,410,630,510,486,622
851,592,884,585,708,735
860,615,840,659,684,792
899,592,855,569,750,741
871,676,901,644,751,796
887,564,2595,555,667,784
932,667,9181,570,823,777
917,697,1005,615,817,797
993,658,1020,645,804,848
1010,666,975,675,830,846
990,614,990,690,755,850
1035,643,2895,615,828,851
972,619,1020,585,814,777
993,637,1005,630,809,821
985,631,960,660,805,811
963,616,975,645,765,815
1094,626,10682,629,832,888
974,714,990,659,870,818
1041,625,1021,734,780,886
982,672,945,660,829,825
962,699,1035,615,840,821
807,463,615,585,557,714
896,682,885,720,747,831
859,618,900,524,785,693
926,536,930,630,687,775
898,609,840,600,754,753
808,531,795,525,671,668
824,535,810,555,665,694
827,499,795,570,627,700
879,774,780,615,885,768
916,543,9646,539,704,755
841,592,855,539,742,691
904,543,870,614,705,743
884,580,841,584,743,721
926,523,5131,554,677,772
841,587,825,554,725,703
869,594,870,585,733,730
888,634,870,600,787,737
926,503,1860,555,671,759
889,535,825,554,715,709
882,539,870,584,681,740
870,576,841,554,732,715
1048,593,2610,599,781,860
978,594,975,615,763,809
989,568,930,660,730,827
898,539,900,570,698,740
880,829,870,600,937,772
831,522,840,555,649,704
834,569,795,555,702,701
3918,604,840,960,784,3738
1010,120,975,615,325,806
836,135,840,555,255,717
0,140,0,0,395,0
341,261,840,555,728,2380
751,536,795,510,642,645
767,521,765,525,640,648
798,509,2926,510,613,694
751,524,750,510,630,647
763,519,765,510,638,645
807,538,3121,524,638,707
1297,503,765,540,617,1957
797,296,3300,495,411,683
0,245,0,0,657,0
0,239,0,0,1634,0
760,573,780,540,674,660
777,519,795,540,635,661
962,997,765,615,1215,745
748,597,840,510,702,644
804,573,840,555,684,693
946,1536,810,615,1741,741
844,526,1650,539,647,724
730,548,780,494,650,628
761,505,780,524,611,655
842,526,2160,554,641,727
765,511,780,510,627,649
752,513,765,509,618,648
743,537,750,525,631,649
747,542,765,510,645,644
881,977,780,585,1138,720
736,537,750,525,624,649
745,527,750,525,622,651
833,909,750,570,1044,698
