bothfoot_L,swing_L,bothfoot_R,swing_R,stand_L,stand_R
751,536,795,510,642,645
767,521,765,525,640,648
798,509,2926,510,613,694
751,524,750,510,630,647
763,519,765,510,638,645
807,538,3121,524,638,707
1297,503,765,540,617,1957
797,296,3300,495,411,683
0,245,0,0,657,0
0,239,0,0,1634,0
760,573,780,540,674,660
777,519,795,540,635,661
962,997,765,615,1215,745
748,597,840,510,702,644
804,573,840,555,684,693
946,1536,810,615,1741,741
844,526,1650,539,647,724
730,548,780,494,650,628
761,505,780,524,611,655
842,526,2160,554,641,727
765,511,780,510,627,649
752,513,765,509,618,648
743,537,750,525,631,649
747,542,765,510,645,644
881,977,780,585,1138,720
736,537,750,525,624,649
745,527,750,525,622,651
833,909,750,570,1044,698
