bothfoot_L,swing_L,bothfoot_R,swing_R,stand_L,stand_R
808,531,795,525,671,668
824,535,810,555,665,694
827,499,795,570,627,700
879,774,780,615,885,768
916,543,9646,539,704,755
841,592,855,539,742,691
904,543,870,614,705,743
884,580,841,584,743,721
926,523,5131,554,677,772
841,587,825,554,725,703
869,594,870,585,733,730
888,634,870,600,787,737
926,503,1860,555,671,759
889,535,825,554,715,709
882,539,870,584,681,740
870,576,841,554,732,715
1048,593,2610,599,781,860
978,594,975,615,763,809
989,568,930,660,730,827
898,539,900,570,698,740
880,829,870,600,937,772
831,522,840,555,649,704
834,569,795,555,702,701
3918,604,840,960,784,3738
1010,120,975,615,325,806
836,135,840,555,255,717
0,140,0,0,395,0
341,261,840,555,728,2380
