bothfoot_L,swing_L,bothfoot_R,swing_R,stand_L,stand_R
206,478,840,720,709,813
817,477,825,660,518,776
698,410,630,510,486,622
851,592,884,585,708,735
860,615,840,659,684,792
899,592,855,569,750,741
871,676,901,644,751,796
887,564,2595,555,667,784
932,667,9181,570,823,777
917,697,1005,615,817,797
993,658,1020,645,804,848
1010,666,975,675,830,846
990,614,990,690,755,850
1035,643,2895,615,828,851
972,619,1020,585,814,777
993,637,1005,630,809,821
985,631,960,660,805,811
963,616,975,645,765,815
1094,626,10682,629,832,888
974,714,990,659,870,818
1041,625,1021,734,780,886
982,672,945,660,829,825
962,699,1035,615,840,821
807,463,615,585,557,714
896,682,885,720,747,831
859,618,900,524,785,693
926,536,930,630,687,775
898,609,840,600,754,753
