bothfoot_L,swing_L,bothfoot_R,swing_R,stand_L,stand_R
1000,796,1201,749,944,856
830,734,1109,599,804,766
881,573,960,645,660,801
730,729,735,600,785,675
811,541,915,570,661,700
760,622,795,510,746,644
800,643,870,555,771,679
760,855,840,570,981,639
700,561,1110,465,667,594
889,607,780,660,726,773
860,527,900,539,675,715
790,594,839,494,730,660
871,533,884,584,671,740
730,587,705,600,686,634
830,489,840,540,626,694
750,497,750,510,616,634
850,501,690,630,647,704
869,498,795,585,636,733
800,592,690,630,716,684
810,512,885,525,636,694
810,446,780,525,591,669
770,559,720,525,676,654
800,571,825,539,682,689
769,542,840,494,666,653
840,554,825,524,715,685
780,657,825,539,790,650
880,491,975,540,655,725
840,484,810,540,635,695
791,472,780,525,601,670
751,530,720,525,637,644
760,508,795,510,602,668
770,499,765,480,627,643
790,606,765,540,722,678
790,554,885,525,662,688
840,475,810,540,632,688
860,501,765,584,652,718
770,543,765,539,666,654
870,487,825,539,661,699
810,534,810,525,676,674
840,447,840,510,616,674
811,483,735,555,627,674
770,543,735,540,672,648
780,573,720,615,697,663
810,498,855,510,642,668
860,488,810,525,657,693
780,560,705,614,677,663
770,566,765,464,652,688
760,483,840,449,612,638
830,526,735,554,681,679
720,577,720,599,661,639
870,529,825,555,681,719
830,472,810,570,611,699
910,602,765,555,811,709
910,577,960,630,711,779
830,477,825,555,641,669
650,392,810,405,476,574
580,433,555,435,506,514
540,446,810,165,521,469
560,417,615,375,511,469
700,452,645,419,606,554
681,620,750,449,706,595
760,500,870,479,616,644
760,477,780,464,611,629
750,548,749,524,636,664
651,532,705,495,627,564
780,503,765,495,657,633
710,489,795,480,582,618
730,488,735,480,587,633
760,506,735,510,612,658
0,443,0,0,0,0
0,622,0,0,0,0
0,555,0,600,492,0
0,448,0,0,0,0
0,554,0,0,0,0
0,534,0,570,506,0
670,448,554,524,547,573
0,539,0,0,0,0
0,595,0,0,0,0
490,402,0,495,411,489
590,546,540,420,591,549
640,462,720,450,531,579
670,467,645,465,561,579
670,471,660,465,586,564
700,519,780,375,651,569
730,563,765,495,691,609
790,483,810,540,621,659
780,531,720,540,681,639
890,873,825,630,996,774
1440,1209,1035,1080,1531,1119
1421,1263,1590,944,1685,1005
1420,1368,1860,990,1625,1165
1601,1389,1710,1155,1751,1240
1430,1245,1815,1110,1506,1174
1261,1169,1665,810,1461,969
1320,1000,1575,930,1276,1044
1190,1056,1440,869,1215,1035
1140,982,1365,839,1140,990
1281,1030,1425,885,1141,1170
1330,1074,1365,930,1256,1154
1050,959,1380,810,1076,934
1070,1043,1230,825,1141,979
1140,1005,1260,900,1131,1019
890,903,1230,704,996,804
1170,851,1050,1004,970,1060
1132,984,1080,915,1097,1025
1162,727,1140,975,874,1018
1070,907,1050,690,1114,866
1131,901,1200,915,1031,1001
1501,1007,1140,1230,1172,1339
1170,911,1305,885,1072,1018
1110,906,1185,839,1067,953
1140,932,1170,914,1061,1019
1190,871,1274,839,1016,1054
1170,673,1200,870,796,1054
1050,752,900,810,896,914
1050,890,120,810,976,964
1160,772,1035,945,936,1004
0,897,0,0,0,0
1170,862,0,1020,1025,1015
901,558,134,660,641,820
760,491,719,584,587,664
749,488,690,524,611,628
790,489,750,510,631,649
650,633,765,435,721,569
700,583,135,120,631,659
0,569,0,600,561,0
750,618,660,135,656,714
850,824,795,645,896,784
800,726,945,705,776,754
770,576,915,524,686,664
710,560,780,539,636,634
730,438,750,539,516,654
740,547,555,585,665,625
730,517,764,524,625,625
740,511,720,525,640,620
740,494,765,495,620,620
781,543,735,585,631,700
792,610,675,615,743,659
700,531,840,510,633,607
740,505,750,510,623,627
773,496,765,510,621,652
760,563,705,615,631,699
760,513,720,570,621,659
760,512,750,480,671,609
821,588,765,569,747,664
890,655,915,599,781,769
880,628,945,599,746,764
870,595,870,600,746,724
850,541,810,675,661,739
920,529,795,600,716,734
870,514,840,600,666,724
900,485,780,630,646,744
810,613,690,645,741,689
860,560,885,585,691,729
930,545,825,615,731,749
810,523,870,524,676,664
841,569,795,600,691,720
790,645,825,569,736,704
841,592,900,555,722,719
780,582,840,540,712,658
790,511,855,510,657,653
810,442,840,555,522,738
630,469,585,495,542,558
460,342,615,330,407,403
450,347,480,315,412,388
440,323,480,315,387,383
500,307,465,375,357,453
530,349,435,405,397,483
572,437,480,404,524,488
732,431,569,509,0,602
0,480,0,0,0,0
0,573,0,0,0,0
0,468,0,0,0,0
